time,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,yaw,qx,qz,roll,qw,qy,pitch,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x,mag_z,mag_y,mag_x,relativeAltitude,pressure,grav_z,grav_y,grav_x
2025-06-27 11:54:35+00:00,0.0,0.2,1.0,42.07036666666666,215.0,211.8904266357422,10.0,19.0,-72.10640000000001,27.780000000000005,-1.3846260783235398,0.3717578639686667,0.5563127377994015,-0.04588597681113662,0.687632256503861,0.28190783885309306,-0.9700652786970987,5.329671865482763,8.29455511487799,0.054971404290487136,0.0017885104894186379,-0.006320701185331658,-0.0012644706082276416,-11.540915286902225,6.074692653887199,-2.3072040442264443,0.184967041015625,999.37744140625,5.53728155318634,8.089718416731872,0.2542807801422903
2025-06-27 11:54:36+00:00,0.0,0.2,1.0,42.07014999999999,215.0,211.23028564453125,10.0,19.0,-72.10658333333333,27.780000000000005,-1.380351299140579,0.36879334953970155,0.5571828064515089,-0.033530638376251296,0.6871333217519628,0.2852558719916166,-0.9696646840514533,5.351116160071752,8.284075430876046,-0.2191924849002032,-0.007650329671468171,0.012506700230365854,-0.004933244585622071,-11.650407998868735,5.658339934773965,-2.178203242840153,0.3672866821289062,999.3557739257812,5.54285730959655,8.087462279826019,0.18584102210292017
2025-06-27 11:54:37+00:00,0.0,0.2,1.0,42.06993333333334,216.0,210.596435546875,10.0,19.0,-72.10674999999999,27.780000000000005,-1.3803131238214654,0.3734095462815755,0.5546713922408111,-0.04001775144186957,0.6866126501358516,0.28538489300664155,-0.9780016882003805,5.268159210392744,8.279691696111104,-0.2230446009852739,0.0019493083847631275,-0.017790994946937068,0.020310067714625346,-11.137479876527692,5.078699319669516,-2.5175018310546875,0.61566162109375,999.3263244628906,5.474141494979539,8.13323515307254,0.21891497589889264
2025-06-27 11:54:38+00:00,0.0,0.2,1.0,42.06971666666667,216.0,210.0069732666016,10.0,19.0,-72.10693333333334,28.037222222222223,-1.382306470724361,0.37490385173189655,0.5548321128310362,-0.03488761551946607,0.6836434653718135,0.2902149602712175,-0.9875016374988129,5.18123188756001,8.358044247645735,-0.0616941625459809,0.0019230425031855685,0.01884174881619399,-0.009816216337494556,-10.658059692382812,4.866095514297485,-2.786149139404297,1.3951492309570312,999.233627319336,5.397857248860865,8.185108156658858,0.18833819793633041
2025-06-27 11:54:39+00:00,0.0,0.2,1.0,42.069500000000005,217.0,210.0069732666016,10.0,19.0,-72.1071,28.037222222222223,-1.364064800420015,0.3629245068760059,0.557478759286767,0.00454606090168068,0.6848271814263859,0.29728175681629493,-0.9765747956064071,5.3229221055381375,8.292416673988782,-0.18442915327626652,-0.030605645744259096,0.05913571373554921,0.018407351097626857,-10.839858404480585,4.419647547278074,-2.793387007005144,2.124427795410156,999.1470336914062,5.487434599197265,8.125476533600187,-0.024847756156209377
2025-06-27 11:54:40+00:00,0.0,0.2,1.0,42.06926666666666,217.0,209.06573486328125,10.0,19.0,-72.10726666666666,28.603111111111115,-1.3231969031327042,0.3499954200843519,0.5514006154441078,0.01235239050339146,0.7035270486188903,0.27947141525332014,-0.9288382162198678,5.645130823022782,8.062686400616943,-0.08805427142176585,0.0158599023707211,-0.11538368056993929,-0.07051381557714195,-11.904547119140625,3.2983993339538573,-2.5562235260009767,2.1640625,999.1423034667968,5.8655129649608435,7.852635297294646,-0.07045010362829764
2025-06-27 11:54:41+00:00,0.0,0.2,1.0,42.06905,217.0,209.4862060546875,10.0,19.0,-72.10743333333333,28.603111111111115,-1.343597658217251,0.35940401916507675,0.5509411657242541,-0.029801182565045818,0.7035789262498288,0.2687770250486223,-0.9305012071121088,5.662120869966751,8.035288781927864,0.18134299420578445,-0.0022614810173169236,0.036205392083070116,0.002374320715149434,-11.164998724909111,3.8464421564989753,-2.7418471987884825,2.7744369506835938,999.06982421875,5.855870511940003,7.8641175017116085,0.17470886655549359
2025-06-27 11:54:42+00:00,0.0,0.2,1.0,42.06881666666666,218.0,209.4862060546875,10.0,19.0,-72.10761666666667,28.911777777777782,-1.3306975930891922,0.3490692277282619,0.5539663005115693,0.011108031405041359,0.7019356217878037,0.2802389066020331,-0.9281961128722261,5.722190720371445,8.060307950837865,0.052676829696515104,-0.011621549794690149,0.024273378277741498,-0.009423925965508012,-11.58873469286626,3.7602871243316347,-2.6163175979463182,3.532783508300781,998.979721069336,5.876120335258233,7.850540279344078,-0.0655306364241821
2025-06-27 11:54:43+00:00,0.0,0.2,1.0,42.06858333333333,218.0,209.4862060546875,10.0,19.0,-72.10778333333333,29.169000000000004,-1.3095499788260705,0.3454396177489227,0.550750733138736,0.03615044880193237,0.7040732813450111,0.28559342452337294,-0.9290683340557727,5.779863159512073,7.898255728563428,-0.11255150557593742,-0.0027089911978691737,-0.028564821140607807,0.026285651568323357,-11.468489990234374,3.595442943572998,-2.5786226654052733,4.0903167724609375,998.9134979248048,5.8656075289121565,7.8552996532817785,-0.21285273678683928
2025-06-27 11:54:44+00:00,0.0,0.2,1.0,42.06834999999999,218.0,209.4862060546875,10.0,19.0,-72.10796666666667,29.169000000000004,-1.3313183825948518,0.36745605853205787,0.5450878551325918,-0.013277363204161173,0.6991762375047023,0.28105769680203807,-0.9618058691614131,5.651499574795365,8.100142724080516,0.1915019847516809,0.017978836989749464,-0.009480543461130324,0.008790436800163564,-10.744011907294245,4.173261047589897,-2.6039681009726947,4.6663360595703125,998.84521484375,5.608893039263239,8.043638005789967,0.07428911322461376
