timestamp,latitude,longitude,altitude,velocity_north,velocity_east,velocity_down,roll,pitch,yaw,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,latitude_cov,longitude_cov,altitude_cov,velocity_n_cov,velocity_e_cov,velocity_d_cov,roll_cov,pitch_cov,yaw_cov,acc_bias_x_cov,acc_bias_y_cov,acc_bias_z_cov,gyro_bias_x_cov,gyro_bias_y_cov,gyro_bias_z_cov
2023-08-09T12:47:46Z,40.040778336987074,-75.22364406412258,83.67098340857774,11.982269880943932,15.040436041192152,-19.607059267582372,2.515801019879291,-1.5605753719428321,3.1025217015994713,0.0010000000006584742,0.0010000000004026788,0.0010000000006158416,0.000999999999990564,0.0009999999999834586,0.0009999999999834586,1.063250706139228e-6,1.0632507158647422e-6,5.4955633383807205,0.5087386893779077,0.5080245974152635,0.5250951643187473,0.0008795151613729024,0.000019925668470517387,0.0008792023537726357,0.0010020000000000005,0.0010019999999999994,0.0010020000000000005,0.0010000199999999995,0.0010000199999999995,0.0010000199999999995
2023-08-09T12:47:47Z,40.040914247079385,-75.22342290173015,67.66983470972627,18.099344229325652,22.65849834238179,-28.67442633979954,2.637413074146025,-1.559818962472491,2.9797300111094955,0.0010000000005021548,0.0010000000002463594,0.0010000000004168896,0.0009999999998626663,0.0010000000000971454,0.0010000000001539888,2.0632507462171624e-6,2.063250782262277e-6,3.6173129031424205,0.5144556919525238,0.5119337871279899,0.5015707303335927,0.004731508161132703,0.00002951870537611699,0.00473370071102901,0.0010029999999999998,0.001002999999999999,0.0010029999999999998,0.0010000299999999998,0.0010000299999999998,0.0010000299999999998
2023-08-09T12:47:48Z,40.041099732739085,-75.22311216147345,49.52262798463926,24.21815907768905,30.278730103047565,-35.82932533323765,2.6312617113580927,-1.559237466819468,2.9852762557857204,0.001000000000772161,0.0010000000004453113,0.0010000000007153176,0.001000000000175305,0.0010000000002534648,0.0009999999997774012,3.0632508137644914e-6,3.063250891516108e-6,3.4073372799808364,0.5259891091717882,0.5195911203237658,0.44058758907874157,0.0047655333326935756,0.00003950324370481205,0.004768101507821011,0.001003999999999999,0.0010039999999999982,0.001003999999999999,0.0010000399999999987,0.0010000399999999987,0.0010000399999999985
2023-08-09T12:47:49Z,40.0413087121818,-75.22271106044872,33.28390796855092,30.354894475545734,37.89181036874652,-40.62689451221377,2.6287008605431765,-1.5572189532249467,2.987331561045721,0.0010000000005874199,0.0010000000007863719,0.0010000000009853238,0.0010000000000474074,0.001000000000040302,0.0010000000000296438,4.06325091033501e-6,4.063251044527447e-6,3.4196750160926936,0.5456425369039387,0.532535681119286,0.3561814664994024,0.005685320237651604,0.000049317223148940375,0.00568825989440851,0.0010049999999999996,0.0010049999999999985,0.0010049999999999996,0.0010000499999999997,0.0010000499999999995,0.0010000499999999995
2023-08-09T12:47:50Z,40.04096191332876,-75.22325479753451,20.708990619750693,34.02371688513085,42.39989231294021,-43.68493347289041,2.5854642731137574,-1.552256929615396,3.0303497231798247,0.0010000000005021548,0.001000000000672685,0.0010000000011842758,0.0010000000000189857,0.0010000000002108322,0.001000000000288992,1.2771453517634747e-6,1.2771453638681763e-6,3.3355992850006246,0.5271371455413131,0.5065043191322306,0.27506142738865436,0.006348801354787426,0.00005900705736908848,0.006352586535891425,0.0010059999999999984,0.0010059999999999976,0.0010059999999999984,0.0010000599999999992,0.0010000599999999984,0.0010000599999999984
2023-08-09T12:47:51Z,40.041279676373954,-75.22271187336796,10.235744893783703,40.161003360524774,50.0082034743391,-46.06922577181831,2.4751882794953417,-1.543076162590296,3.1402865622658283,0.0010000000004595222,0.0010000000006442633,0.001000000001354806,0.001000000000175305,0.0010000000001966214,0.0010000000003778098,2.27714540073037e-6,2.2771454391212324e-6,3.1635628415993935,0.5678239572705209,0.5331044309144147,0.21615473748043043,0.0066178740565163326,0.00006867134655477187,0.006621672097732751,0.0010069999999999986,0.0010069999999999977,0.0010069999999999986,0.0010000699999999983,0.0010000699999999983,0.0010000699999999983
2023-08-09T12:47:52Z,40.04162574818538,-75.22207816321408,0.5854893596842885,46.30716734426096,57.60658291913569,-48.22308263788,2.2863039269286674,-1.5273385335603962,-2.954569163644919,0.0010000000005447873,0.001000000000473733,0.001000000001653234,0.0010000000005305765,0.0010000000002676757,0.0009999999999763531,3.277145484242019e-6,3.2771455616005133e-6,2.963818267754446,0.6234788355301597,0.5694919740239316,0.18537084698323184,0.006779924523075299,0.00007823300589248891,0.0067828630614074166,0.0010079999999999993,0.0010079999999999967,0.0010079999999999993,0.0010000799999999985,0.0010000799999999985,0.0010000799999999985
2023-08-09T12:47:53Z,40.04195447396768,-75.22135077141284,-8.804629402584396,52.446908734273165,65.18174973968416,-50.045915466267616,1.9952321697492152,-1.5006633592565777,-2.664142754045315,0.0010000000009426913,0.0010000000007153176,0.0010000000016674448,0.0010000000010990107,0.0010000000005021548,0.0010000000002179377,4.27714560808995e-6,4.277145736861621e-6,2.8005677544969916,0.6963819676106332,0.6171495286036411,0.18183128764807238,0.006854103681577368,0.0000873708353431017,0.00685652642918804,0.0010089999999999984,0.0010089999999999958,0.0010089999999999988,0.0010000899999999982,0.0010000899999999982,0.0010000899999999982
2023-08-09T12:47:54Z,40.042194363935074,-75.2205248888174,-17.409468517638743,58.5632755625993,72.69069024920464,-51.08806444145739,1.5456431998027256,-1.4556676962674828,-2.2130128077114932,0.0010000000007863719,0.0010000000005163656,0.001000000001937451,0.0010000000015111254,0.0010000000005447873,0.001000000000598078,5.277145774661638e-6,5.277145972555309e-6,2.704310463128497,0.7888076070870297,0.6775972122170999,0.1879756752929772,0.00651454979452877,0.00009759794511845542,0.006519160108155293,0.0010099999999999977,0.0010099999999999968,0.0010099999999999977,0.0010000999999999977,0.0010000999999999977,0.0010000999999999977
2023-08-09T12:47:55Z,40.04118542943507,-75.22291297874982,-23.166702550603077,57.496883837506175,71.05548475310206,-50.948289803694934,0.956423918119981,-1.3847855594794964,-1.629230136561091,0.0010000000007153176,0.0010000000005589982,0.0010000000019942945,0.001000000002150614,0.0010000000008645316,0.0010000000005163656,1.1228787244742332e-6,1.1228787334398273e-6,2.5963331299835204,0.7201533097123534,0.6141294350256956,0.15750372905152743,0.00650342962125638,0.00010359244083147094,0.0065090024335232284,0.0010109999999999976,0.0010109999999999976,0.0010109999999999978,0.0010001099999999968,0.0010001099999999968,0.0010001099999999968
