time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1691185677581023000,-0.99497705078125,0,0.18622379004955292,7.574936866760254,4.186999797821045,0.004412572830915451,0,10.5,-75.2952132,40.1046933
1691185678581011000,0.005010986328125,0,0.19449444115161896,6.673917293548584,4.193999767303467,0.004774457309395075,0,13.401986369337443,-75.2952131,40.1046933
1691185679581042000,1.0050419921875,0,0.20067380368709564,6.810441970825195,4.198999881744385,0.005491585470736027,0,13.631874053551996,-75.295213,40.1046933
1691185680581056000,2.005055908203125,0,0.19214540719985962,6.9037933349609375,4.184000015258789,0.0076729911379516125,0,13.219348206553391,-75.2952129,40.1046933
1691185681581059000,3.00505908203125,0,0.19121114909648895,12.926335334777832,4.166999816894531,0.008726433850824833,0,10.5,-75.2952127,40.1046932
1691185682581100000,4.00510009765625,0,0.1941673904657364,12.936504364013672,4.158999919891357,0.010599764995276928,0,10.5,-75.2952125,40.1046932
1691185683581078000,5.005078125,0,0.1935833841562271,7.787649154663086,4.1620001792907715,0.012763194739818573,0,17.844649807747878,-75.2952123,40.1046931
1691185684581100000,6.00510009765625,0,0.19855836033821106,11.974458694458008,4.166999816894531,0.0015283579705283046,0,10.5,-75.2952122,40.1046931
1691185685581118000,7.005117919921875,0,0.19060641527175903,9.668951034545898,4.171999931335449,0.004946637433022261,0,13.406698857538132,-75.2952121,40.1046931
1691185686581215000,8.005215087890624,0,0.18335166573524475,9.232437133789062,4.151000022888184,0.00911911390721798,0,13.70662729783993,-75.2952119,40.104693
1691185687581141000,9.00514111328125,0,0.180302694439888,9.24278450012207,4.116000175476074,0.013467442244291306,0,13.726083730113068,-75.2952116,40.1046931
1691185688581163000,10.0051630859375,0,0.17918388545513153,9.803105354309082,4.076000213623047,0.01575232483446598,0,13.29922180698825,-75.2952113,40.104693
1691185689581164000,11.0051640625,0,0.1819773018360138,9.81277084350586,4.033999919891357,0.01675163023173809,0,13.29614973147612,-75.2952111,40.104693
1691185690581187000,12.00518701171875,0,0.1825624704360962,8.300958633422852,3.99399995803833,0.017194844782352448,0,10.5,-75.2952109,40.1046929
1691185691581220000,13.00522021484375,0,0.1824527531862259,8.350763320922852,3.9739999771118164,0.01633787900209427,0,10.5,-75.2952108,40.1046928
1691185692581255000,14.0052548828125,0,0.18781596422195435,8.336980819702148,3.9600000381469727,0.017376920208334923,0,10.5,-75.2952105,40.1046928
1691185693581223000,15.005222900390624,0,0.19021612405776978,8.35678768157959,3.9489998817443848,0.01816451922059059,0,10.5,-75.2952103,40.1046927
1691185694499000000,15.923,0,0.19021612405776978,10.493268966674805,10.777000427246094,0.018090704455971718,0,13.509613701936289,-75.2952101,40.1046927
1691185694581233000,16.00523291015625,0,0.19015400111675262,10.483588218688965,10.772000312805176,0.016734132543206215,0,13.513709841072803,-75.2952102,40.1046927
1691185695581260000,17.005260009765625,0,0.18616695702075958,10.288122177124023,10.776000022888184,0.016124483197927475,0,13.805445957202942,-75.29521,40.1046927
1691185696581264000,18.005263916015625,0,0.18258437514305115,10.399165153503418,10.798999786376953,0.014599625021219254,0,13.831046834558549,-75.2952099,40.1046927
1691185697581371000,19.005370849609374,0,0.17414453625679016,10.701375007629395,10.845999717712402,0.011584545485675335,0,13.366807750682511,-75.2952098,40.1046927
1691185698581301000,20.005301025390626,0,20,10.666028022766113,10.901000022888184,0.06367205083370209,0,13.366807750682511,-75.2952076,40.1046935
1691185699496000000,20.92,0,20,11.671408653259277,12.5649995803833,0.06487178802490234,0,10.5,-75.2952069,40.1046937
1691185699581318000,21.00531787109375,11.540070533752441,0.15581876039505005,11.67343521118164,7.204999923706055,0.8005578517913818,67.99966430664062,10.5,-75.2952006,40.1046963
1691185700581361000,22.00536083984375,4.713590621948242,0.15727674961090088,11.36172866821289,7.191999912261963,1.9957369565963745,85.99107360839844,10.5,-75.2951875,40.1046998
1691185701581382000,23.0053818359375,3.081317663192749,0.16422219574451447,11.681486129760742,7.136000156402588,3.159797191619873,105.98250579833984,10.5,-75.2951544,40.1046996
1691185702581330000,24.005329833984376,3.037085771560669,0.19509699940681458,10.97592544555664,6.673999786376953,3.719604253768921,127.96624755859375,13.677045006685013,-75.2951061,40.1046875
1691185703581344000,25.005343994140624,2.5457990169525146,0.2512420415878296,10.985274314880371,7.03000020980835,4.905953884124756,147.95921325683594,13.693941928082566,-75.295065,40.1046585
1691185704501000000,25.925,2.5457990169525146,0.2512420415878296,9.82634449005127,6.986999988555908,4.90508508682251,147.95867919921875,14.068626674725863,-75.2950391,40.1046269
1691185704581359000,26.005359130859375,1.678720235824585,0.17372971773147583,9.813535690307617,6.942999839782715,5.912319183349609,155.99058532714844,14.074771069513574,-75.2950317,40.1046104
1691185705581385000,27.005385009765625,1.4126123189926147,0.1570926308631897,9.943441390991211,6.939000129699707,6.449653148651123,151.00552368164062,13.636644896094957,-75.2949986,40.1045511
1691185706581406000,28.005406005859374,1.4109485149383545,0.16603276133537292,9.951285362243652,6.965000152587891,6.7332892417907715,144.0088348388672,13.644837429922667,-75.2949575,40.1044916
1691185707581399000,29.00539892578125,1.3292021751403809,0.16632485389709473,10.635417938232422,6.965000152587891,7.11064338684082,142.00250244140625,10.5,-75.2949068,40.1044355
1691185708581420000,30.005419921875,1.296514868736267,0.1703343540430069,10.634870529174805,6.965000152587891,7.479458332061768,142,10.5,-75.2948508,40.1043784
1691185709581435000,31.005434814453125,1.1434801816940308,0.16205903887748718,10.510509490966797,3.86899995803833,8.11168098449707,142,10.5,-75.2947919,40.1043176
1691185710581453000,32.005453125,2.0898776054382324,0.3104952573776245,7.873402118682861,3.861999988555908,8.475902557373047,143.99179077148438,10.199999809265137,-75.2947273,40.1042505
1691185711581446000,33.00544580078125,2.1129417419433594,0.3174760639667511,7.657008647918701,3.9030001163482666,8.523053169250488,144.99526977539062,10.199999809265137,-75.2946673,40.1041824
1691185712581454000,34.0054541015625,2.2151598930358887,0.31662216782569885,8.335040092468262,3.9600000381469727,8.129687309265137,145.0000457763672,12.942317604846401,-75.2946095,40.1041146
1691185713581514000,35.00551391601562,2.310063123703003,0.29188740253448486,8.362531661987305,4.019999980926514,7.23651647567749,144.0045928955078,12.632573620342363,-75.2945552,40.1040524
1691185714581503000,36.0055029296875,2.470038890838623,0.2786368727684021,8.37240219116211,4.1539998054504395,6.408168792724609,144.00013732910156,12.194343668680666,-75.2945082,40.103997
1691185715581501000,37.0055009765625,2.7006072998046875,0.28582146763801575,8.332603454589844,4.190999984741211,5.9981584548950195,144.00009155273438,12.22448601270262,-75.2944678,40.1039486
1691185716581544000,38.0055439453125,2.813890218734741,0.27182266116142273,8.34260082244873,4.211999893188477,5.498201370239258,144.00006103515625,10.5,-75.2944294,40.1039058
1691185717581541000,39.005541015625,3.312222719192505,0.2585504353046417,8.801236152648926,4.214000225067139,4.434999465942383,144.0001220703125,8.465515579493022,-75.2943942,40.1038678
1691185718581544000,40.0055439453125,4.738936424255371,0.2429111897945404,8.811073303222656,4.2230000495910645,2.8798816204071045,140.0172882080078,8.105154692271562,-75.2943678,40.1038405
1691185719581559000,41.00555908203125,10.96656322479248,0.2732264995574951,8.467586517333984,4.267000198364258,1.3575319051742554,141.988525390625,7.6116665275285555,-75.2943523,40.103828
1691185720581584000,42.005583984375,22.633129119873047,0.2623549699783325,8.477788925170898,4.311999797821045,0.6117701530456543,142.0041961669922,7.5292595818710595,-75.2943496,40.1038244
1691185721581593000,43.00559301757813,6.94874906539917,0.19448478519916534,8.804868698120117,4.331999778747559,1.5668249130249023,137.00338745117188,7.584538686532163,-75.2943519,40.1038241
1691185722581599000,44.00559887695312,3.667407274246216,0.21101757884025574,8.750771522521973,4.355999946594238,3.18794584274292,133.00424194335938,7.813869447116495,-75.2943438,40.103809
1691185723581611000,45.00561108398438,3.714207887649536,0.2809891402721405,8.412092208862305,4.373000144958496,4.1867499351501465,118.0109634399414,7.861963356311357,-75.2943094,40.1037803
1691185724581631000,46.005630859375,5.940396308898926,0.3718646764755249,8.422309875488281,4.434000015258789,4.0073161125183105,101.14137268066406,7.855309152495359,-75.2942649,40.1037698
1691185725581635000,47.005635009765626,6.483355522155762,0.42290955781936646,9.002435684204102,4.498000144958496,4.557794570922852,74.28623962402344,10.5,-75.2941998,40.103777
1691185726581653000,48.005653076171875,4.106841564178467,0.2775903344154358,9.142962455749512,4.559999942779541,3.944012403488159,51.096683502197266,10.5,-75.2941344,40.1038081
1691185727581662000,49.00566186523437,7.175052165985107,0.28529080748558044,8.807133674621582,4.583000183105469,2.2186837196350098,45.040428161621094,10.5,-75.2940949,40.1038483
1691185728518000000,49.94200024414062,7.175052165985107,0.28529080748558044,7.459622859954834,7.688000202178955,2.2183094024658203,45.036251068115234,7.099999904632568,-75.2940789,40.1038611
1691185728581673000,50.0056728515625,11.976824760437012,0.21333473920822144,7.481546401977539,7.709000110626221,0.7499047517776489,44.99100875854492,7.099999904632568,-75.2940821,40.1038735
1691185729581706000,51.0057060546875,5.585171222686768,0.2122044563293457,7.558160305023193,7.675000190734863,2.16988468170166,52.99393844604492,7.099999904632568,-75.2940816,40.1038853
1691185730581715000,52.00571484375,4.335238933563232,0.32220450043678284,7.65716552734375,7.656000137329102,4.08535099029541,54.99324417114258,7.099999904632568,-75.2940503,40.10391
1691185731581721000,53.00572119140625,3.5606653690338135,0.3872085213661194,7.422990798950195,7.617000102996826,5.812901973724365,57.982967376708984,7.099999904632568,-75.2939874,40.1039467
1691185732581731000,54.00573095703125,2.5179741382598877,0.3687734007835388,7.903193950653076,7.613999843597412,7.471357345581055,62.974220275878906,7.099999904632568,-75.293908,40.1039854
1691185733506000000,54.92999975585938,2.5179741382598877,0.3687734007835388,7.410037517547607,9.805000305175781,7.46864128112793,62.97273635864258,8.041171765678982,-75.293841,40.1040117
1691185733581760000,55.00576000976562,2.077007532119751,0.3570909798145294,7.426479339599609,7.572000026702881,9.368378639221191,65.9836654663086,7.099999904632568,-75.2938106,40.1040268
1691185734581774000,56.00577416992188,2.047576665878296,0.37723273038864136,7.157834529876709,7.538000106811523,10.84102725982666,76.93336486816406,7.099999904632568,-75.2936826,40.1040696
1691185735581773000,57.00577294921875,2.060823440551758,0.3723619878292084,7.289759159088135,7.492000102996826,11.281627655029297,81.96271514892578,7.099999904632568,-75.2935314,40.1040926
1691185736581791000,58.005791015625,2.0449585914611816,0.37430283427238464,7.289530277252197,7.491000175476074,11.432821273803711,87.95336151123047,7.099999904632568,-75.2933857,40.1041012
1691185737581845000,59.00584497070312,2.4305412769317627,0.44061097502708435,7.289167881011963,7.485000133514404,11.384834289550781,97.89031982421875,7.099999904632568,-75.2932423,40.1040976
1691185738581802000,60.00580200195313,1.9806933403015137,0.3840644359588623,7.663581848144531,4.361999988555908,10.865781784057617,112.89483642578125,10.5,-75.2931068,40.1040699
1691185739581824000,61.00582397460938,2.5466437339782715,0.4751242995262146,8.63534164428711,4.408999919891357,10.50419807434082,123.88105010986328,10.5,-75.2929915,40.1040177
1691185740581824000,62.00582397460938,2.4274559020996094,0.474477082490921,6.524074077606201,4.5229997634887695,10.842789649963379,135.88099670410156,8.894487912889097,-75.2928939,40.1039489
1691185741581849000,63.00584912109375,1.7827802896499634,0.3511205315589905,7.999105453491211,4.630000114440918,11.210188865661621,144.94964599609375,12.0581133177648,-75.2928173,40.1038601
1691185742581869000,64.005869140625,1.6108044385910034,0.3240126073360443,8.32302474975586,4.7230000495910645,11.364055633544922,144.00486755371094,11.549343602444083,-75.2927513,40.1037562
1691185743581868000,65.00586791992187,1.5916366577148438,0.32807672023773193,7.362516403198242,4.809000015258789,11.5826997756958,143.0051727294922,7.099999904632568,-75.2926854,40.1036515
1691185744581872000,66.0058720703125,1.615547776222229,0.34060707688331604,7.3622026443481445,4.828000068664551,12.003460884094238,142.005615234375,7.099999904632568,-75.2926152,40.1035423
1691185745581901000,67.00590112304687,1.5448939800262451,0.34495848417282104,7.36421012878418,4.790999889373779,12.495205879211426,139.01612854003906,7.099999904632568,-75.2925359,40.1034411
1691185746581973000,68.00597290039063,1.5784142017364502,0.34829676151275635,9.245528221130371,4.730000019073486,12.383673667907715,138.00595092773438,7.608148048403976,-75.2924451,40.1033452
1691185747581922000,69.00592211914062,1.7646249532699585,0.36028051376342773,7.275933265686035,4.670000076293945,11.390140533447266,138.99375915527344,6.746718879615152,-75.2923547,40.1032563
1691185748581937000,70.00593701171876,2.1261861324310303,0.38197246193885803,6.257752418518066,4.63700008392334,10.034672737121582,140.98507690429688,6.100317810694428,-75.2922751,40.1031767
1691185749581944000,71.00594409179688,2.2614121437072754,0.3512022793292999,7.335386753082275,4.63700008392334,8.71865177154541,139.01332092285156,5.665848663383926,-75.2922091,40.1031086
1691185750582012000,72.00601196289062,2.622551918029785,0.3442269563674927,7.314479827880859,4.678999900817871,7.326808452606201,138.00680541992188,5.270291345279546,-75.2921483,40.1030532
1691185751581989000,73.00598901367188,3.2388949394226074,0.3498046398162842,7.314822673797607,4.745999813079834,5.954197883605957,137.0071563720703,4.877310942006659,-75.2920982,40.1030091
1691185752582005000,74.0060048828125,3.435062885284424,0.34320881962776184,7.1860456466674805,4.841000080108643,5.4846086502075195,139.9828338623047,4.5564820336116725,-75.292058,40.1029733
1691185753581990000,75.00598999023437,3.3915624618530273,0.3119111657142639,8.2919340133667,4.921000003814697,5.113132476806641,140.99522399902344,7.3788945391927,-75.2920226,40.1029409
1691185754582027000,76.00602709960937,3.6249427795410156,0.2956923544406891,3.665884494781494,5.000999927520752,4.541576862335205,141.0001678466797,5.300000190734863,-75.2919914,40.1029095
1691185755582118000,77.00611791992188,4.960623264312744,0.29164740443229675,3.474189281463623,4.993000030517578,3.24668288230896,141.00083923339844,5.300000190734863,-75.2919687,40.1028797
